"business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category"
952,"SHANGRILA VEGETARIAN REST","2026 IRVING St","San Francisco","CA","94122",37.763512,-122.47958,"POINT (-122.47958 37.763512)",NULL,"952_20161031","2016-10-31",88,"Routine - Unscheduled","952_20161031_103161","Low risk vermin infestation","Low Risk"
226,"Grumpy's American Pub","125 Vallejo St","San Francisco","CA","94111",37.799594,-122.400586,"POINT (-122.400586 37.799594)",NULL,"226_20190905","2019-09-05",74,"Routine - Unscheduled","226_20190905_103114","High risk vermin infestation","High Risk"
1103,"STARBUCKS COFFEE","4094 18th St","San Francisco","CA","94114",37.760938,-122.434692,"POINT (-122.434692 37.760938)",NULL,"1103_20180914","2018-09-14",96,"Routine - Unscheduled","1103_20180914_103161","Low risk vermin infestation","Low Risk"
16751,"Nihon","1779 Folsom St","San Francisco","CA","94103",37.768654,-122.415586,"POINT (-122.415586 37.768654)",NULL,"16751_20180705","2018-07-05",92,"Routine - Unscheduled","16751_20180705_103131","Moderate risk vermin infestation","Moderate Risk"
5821,"MOSCONE ELEMENTARY SCHOOL","2576 HARRISON St","San Francisco","CA","94110",37.756231,-122.412293,"POINT (-122.412293 37.756231)","14155695736","5821_20190219","2019-02-19",96,"Routine - Unscheduled","5821_20190219_103161","Low risk vermin infestation","Low Risk"
2032,"QUEEN ANNE HOTEL","1590 SUTTER St","San Francisco","CA","94109",37.786988,-122.426464,"POINT (-122.426464 37.786988)","14155442828","2032_20161031","2016-10-31",85,"Routine - Unscheduled","2032_20161031_103114","High risk vermin infestation","High Risk"
2717,"GOURMET DIM SUM & CAFE","651 CLEMENT St","San Francisco","CA","94118",37.782823,-122.466359,"POINT (-122.466359 37.782823)",NULL,"2717_20170719","2017-07-19",73,"Routine - Unscheduled","2717_20170719_103131","Moderate risk vermin infestation","Moderate Risk"
36348,"El Tepa","2198 Folsom St","San Francisco","CA","94110",37.762217,-122.415035,"POINT (-122.415035 37.762217)",NULL,"36348_20170112","2017-01-12",92,"Routine - Unscheduled","36348_20170112_103161","Low risk vermin infestation","Low Risk"
40217,"Pizzetta 211","211 23rd Ave","San Francisco","CA","94121",37.783758,-122.482885,"POINT (-122.482885 37.783758)",NULL,"40217_20180601","2018-06-01",81,"Routine - Unscheduled","40217_20180601_103131","Moderate risk vermin infestation","Moderate Risk"
38202,"Ilobasco Restaurant & Pupuseria","2680 San Bruno Ave","San Francisco","CA","94134",37.727898,-122.403751,"POINT (-122.403751 37.727898)",NULL,"38202_20190205","2019-02-05",72,"Routine - Unscheduled","38202_20190205_103114","High risk vermin infestation","High Risk"
4907,"JIM GEORGIE'S DONUT","2799 16th St","San Francisco","CA","94103",37.765262,-122.41523,"POINT (-122.41523 37.765262)","14155867112","4907_20170105","2017-01-05",80,"Routine - Unscheduled","4907_20170105_103131","Moderate risk vermin infestation","Moderate Risk"
60387,"Mendelsohn House","737 FOLSOM St","San Francisco","CA","94107",37.783155,-122.399647,"POINT (-122.399647 37.783155)",NULL,"60387_20171017","2017-10-17",96,"Routine - Unscheduled","60387_20171017_103131","Moderate risk vermin infestation","Moderate Risk"
891,"Lucky Creation Vegetarian Restaurant LLC","854 Washington St","San Francisco","CA","94108",37.795078,-122.407433,"POINT (-122.407433 37.795078)",NULL,"891_20190805","2019-08-05",84,"Routine - Unscheduled","891_20190805_103131","Moderate risk vermin infestation","Moderate Risk"
4678,"BOUDIN BAKERY","399 10th Ave","San Francisco","CA","94118",37.781139,-122.468635,"POINT (-122.468635 37.781139)",NULL,"4678_20190506","2019-05-06",96,"Routine - Unscheduled","4678_20190506_103131","Moderate risk vermin infestation","Moderate Risk"
3850,"Thai House Express On Castro","599 Castro","San Francisco","CA","94114",37.759404,-122.434836,"POINT (-122.434836 37.759404)","14155865000","3850_20161215","2016-12-15",87,"Routine - Unscheduled","3850_20161215_103161","Low risk vermin infestation","Low Risk"
1000,"HEUNG YUEN RESTAURANT","3279 22nd St","San Francisco","CA","94110",37.755282,-122.420493,"POINT (-122.420493 37.755282)",NULL,"1000_20171002","2017-10-02",74,"Routine - Unscheduled","1000_20171002_103161","Low risk vermin infestation","Low Risk"
2409,"Mission Hunan Restaurant","2960 16th St","San Francisco","CA","94103",37.765142,-122.419026,"POINT (-122.419026 37.765142)","14155628288","2409_20180201","2018-02-01",72,"Routine - Unscheduled","2409_20180201_103114","High risk vermin infestation","High Risk"
27350,"18th Street Commissary","3334 18th St","San Francisco","CA","94110",37.761965,-122.417948,"POINT (-122.417948 37.761965)",NULL,"27350_20180620","2018-06-20",85,"Routine - Unscheduled","27350_20180620_103131","Moderate risk vermin infestation","Moderate Risk"
63082,"The Brick Yard","1787 Union St","San Francisco","CA","94123",37.797933,-122.428627,"POINT (-122.428627 37.797933)","14156677676","63082_20170824","2017-08-24",78,"Routine - Unscheduled","63082_20170824_103114","High risk vermin infestation","High Risk"
4400,"BOTTOM OF THE HILL","1233 17th St","San Francisco","CA","94107",37.765117,-122.396135,"POINT (-122.396135 37.765117)","14150204876","4400_20170913","2017-09-13",96,"Routine - Unscheduled","4400_20170913_103131","Moderate risk vermin infestation","Moderate Risk"
6003,"JOSEPH LEE RECREATION CENTER","1395 MENDELL St","San Francisco","CA","94124",37.735232,-122.389694,"POINT (-122.389694 37.735232)","14155829040","6003_20180208","2018-02-08",96,"Routine - Unscheduled","6003_20180208_103131","Moderate risk vermin infestation","Moderate Risk"
3587,"SUPERIOR PALACE SEAFOOD REST.","3546 BALBOA St","San Francisco","CA","94121",37.775758,-122.497041,"POINT (-122.497041 37.775758)",NULL,"3587_20190904","2019-09-04",77,"Routine - Unscheduled","3587_20190904_103114","High risk vermin infestation","High Risk"
35828,"A1 Geneva Bakery","959 GENEVA Ave","San Francisco","CA","94112",37.715986,-122.440039,"POINT (-122.440039 37.715986)",NULL,"35828_20190103","2019-01-03",NULL,"Complaint","35828_20190103_103114","High risk vermin infestation","High Risk"
